path,file_type,variables,units_if_known,date_range,spatial_resolution,temporal_resolution,count,missingness,role,notes,category
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/Model6Closed_Snow_aSrz_SIMHYD_Simple_full671_ep100_iter200,,,,,,,,,run dir,main model benchmark,model_training
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/Model6Closed_Snow_aSrz_SIMHYD_Simple_full671_ep100_iter200/per_basin_metrics_compare.csv,csv,"model, basin_id, lat, lon, NSE, KGE, R2, FLV, FHV, low_flow_NSE, high_flow_NSE, ET_over_P, INT_over_P, Q_over_P, SRUN_over_P, IFLOW_over_P, BAS_over_P, REC_over_P, external_loss_over_P, mean_abs_daily_wb_residual_mm_day, cumulative_relative_wb_error, SNOWPACK_drift_mm, MELTWATER_drift_mm, Sa_drift_mm, GW_drift_mm, alpha_mean, theta_cap_mean, aSrz_capacity_mm, mean_aSrz_mm, aridity_index",,,,,50 basins (sampled),0.167,evaluation only,streamflow + learned state summary,model_output
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/Model6Closed_Snow_aSrz_SIMHYD_Simple_full671_ep100_iter200/water_balance_compare.csv,csv,"model, basin_id, cumulative_precipitation_mm, mean_abs_daily_wb_residual_mm_day, max_abs_daily_wb_residual_mm_day, cumulative_relative_wb_error, external_loss_over_P",,,,,50 basins (sampled),0.000,evaluation only,water-balance summary,model_output
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/Model6Closed_Snow_aSrz_SIMHYD_Simple_full671_ep60/drought_tipping_theta_wetpoint/drought_tipping_daily_basin_day.parquet,parquet,"basin_id, date, Q_obs, Q_process, dQ_dt, Sa, theta_cap, Smoist, theta_wetpoint, x_norm, alpha, ET_a, REC, BAS, GW, gw_balance, P, INT, SRUN, IFLOW, drought_day, onset_window",,1995-10-01 to 1995-11-19,,,1 basins (sampled),0.001,evaluation only,state-rich auxiliary daily archive,model_output
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/ECO_INPUTS_2020/camels_us/camels_attributes_v2/camels_clim.txt,txt,,,,,,,,static attrs,CAMELS climate,basin_data
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/ECO_INPUTS_2020/camels_us/camels_attributes_v2/camels_geol.txt,txt,,,,,,,,static attrs,CAMELS geology,basin_data
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/ECO_INPUTS_2020/camels_us/camels_attributes_v2/camels_hydro.txt,txt,,,,,,,,static attrs,CAMELS hydro,basin_data
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/ECO_INPUTS_2020/camels_us/camels_attributes_v2/camels_soil.txt,txt,,,,,,,,static attrs,CAMELS soil,basin_data
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/ECO_INPUTS_2020/camels_us/camels_attributes_v2/camels_topo.txt,txt,,,,,,,,static attrs,CAMELS topo,basin_data
/home/mircore/Desktop/diff_hydro/ECO_HYBRID/ECO_INPUTS_2020/camels_us/camels_attributes_v2/camels_vege.txt,txt,,,,,,,,static attrs,CAMELS vegetation,basin_data
