aridity_class,snow_class,forest_class,baseflow_class,NSE_median,NSE_mean,KGE_median,KGE_mean,R2_median,R2_mean,low_flow_NSE_median,low_flow_NSE_mean,high_flow_NSE_median,high_flow_NSE_mean,logNSE_daily_aux_median,logNSE_daily_aux_mean,n_basins
arid,non_snow,forested,high_bfi,0.2584078907966614,-0.2839222285482619,0.4595613304311735,0.2318464736993575,0.4726312441344929,0.44968988270992394,-61.304141998291016,-104.46356179979112,0.1219085454940795,-0.7044604619344076,0.2532589819429174,-0.45064030074282635,9
arid,non_snow,forested,low_bfi,0.4697868227958679,0.47898957946083764,0.3349945293259361,0.22756664646823707,0.6323341560239216,0.6032335768147448,-824.2199096679688,-499870.15894529555,0.4610658884048462,0.46461743929169397,0.4826241949240673,0.33971383723422216,11
arid,non_snow,non_forested,high_bfi,0.0661706328392029,-1.8910815075039864,0.3338515675897935,-0.327730479161955,0.3397258062016647,0.38500410746130387,-23.922569274902344,-503.41858341819363,0.006841361522674599,-2.0381455779075623,-0.1782482272858681,-2.4940601199754937,20
arid,non_snow,non_forested,low_bfi,0.23982074856758115,0.06364882810086739,0.03944588592236155,-0.3040116564166934,0.377506688508598,0.3827289333684512,-2973.7908935546875,-165759.61746784736,0.2002332806587219,0.11376666204958427,0.022522653698268447,-0.32130851296363033,82
arid,snow_dominated,forested,high_bfi,0.7598427087068558,0.5441465380673225,0.7518386880769914,0.626075201002683,0.8039321583791468,0.765498572388674,-19.1687593460083,-52.996165422292854,0.6765632033348083,-0.6428940018209127,0.75434673812915,0.46056982116395645,26
arid,snow_dominated,forested,low_bfi,0.8505863845348358,0.8295317155619463,0.7713615973587133,0.7131352760513794,0.8815039686486759,0.8532161559838437,-69.35804176330566,-119.05236434936523,0.779901459813118,0.7665518745779991,0.8654374567741995,0.8300040578298408,6
arid,snow_dominated,non_forested,high_bfi,0.6160569489002228,-0.03560708598657088,0.4803666070312803,0.3085332768923749,0.7249553994417312,0.6833073856322597,-37.147504806518555,-243.01228811524132,0.24567568302154535,-0.43172620169141074,0.548224647251343,0.09412612931308507,22
arid,snow_dominated,non_forested,low_bfi,0.23816689848899836,0.23816689848899836,-0.45745138303656463,-0.45745138303656463,0.45949757342967473,0.45949757342967473,-4444.2744140625,-4444.2744140625,0.2379015684127807,0.2379015684127807,-0.09007368351083272,-0.09007368351083272,2
humid,non_snow,forested,high_bfi,0.7484163641929626,0.7264562217338432,0.7770102143666919,0.7481439671484063,0.7819078354591484,0.774861770102336,-6.538507699966431,-12.231730579849213,0.6482976675033569,0.628286991388567,0.7512467351720717,0.7301552500162752,124
humid,non_snow,forested,low_bfi,0.7355470955371857,0.70135209672153,0.6984628960907171,0.683061215802688,0.7584487082959568,0.7403791124917132,-39.38131141662598,-203.32161816716194,0.6412416696548462,0.6224530997872353,0.7051884401854086,0.6894157105208714,100
