metric,comparison_basis,mc_median,hbv_median,mc_mean,hbv_mean,n_valid_basins,mc_better_basins,hbv_better_basins,mc_better_fraction
NSE,higher,0.6290037068345274,0.6278148701696469,0.301006424727989,0.3387203266692386,671,310,361,0.46199701937406856
KGE,higher,0.6338453040368633,0.6377297389335277,0.4993996283143206,0.48213128100832875,671,322,349,0.4798807749627422
COR,higher,0.82365058650622,0.826916441066616,0.7837412618109738,0.7857264218139216,671,278,393,0.4143070044709389
R2corr,higher,0.6784002886520403,0.6837908005062782,0.6329222423125211,0.6373371021768157,671,278,393,0.4143070044709389
RMSE,lower,1.3301680296420457,1.3513905481450843,1.547199404171128,1.5428292840163886,671,310,361,0.46199701937406856
MAE,lower,0.540505448843491,0.5564201409756121,0.6499017087147748,0.6605711168289673,671,373,298,0.555886736214605
abs_PBias,lower,14.456505508746151,14.349563783704511,23.992687673596677,26.86119820180177,671,318,353,0.47391952309985097
abs_FHV,lower,43.8540069535286,39.68431568263997,43.47068419329347,42.014541056609175,671,249,422,0.3710879284649776
abs_FLV,lower,49.40872600528478,58.46390779897657,80.10404813461858,91.93505161224549,640,331,309,0.5171875
abs_FMS,lower,25.909474538162435,28.52352611445893,37.92942258904593,40.23147184767388,670,376,294,0.5611940298507463
PT,lower,35.13333333333333,36.86666666666667,37.63989909742518,38.11283217527629,671,356,315,0.5305514157973175
precision_2yr,higher,0.6,0.5714285714285714,0.6113261882551122,0.5763211858675443,615,347,268,0.5642276422764227
recall_2yr,higher,0.3333333333333333,0.4,0.3672785926804193,0.41255278305889287,671,157,514,0.23397913561847988
f1_2yr,higher,0.4285714285714285,0.4444444444444444,0.4122639659502219,0.4303279660578963,601,264,337,0.43926788685524126
precision_5yr,higher,0.5,0.5,0.5062384668563104,0.49263043657455224,460,171,289,0.3717391304347826
recall_5yr,higher,0.25,0.25,0.28576721894637847,0.30749769520927506,671,97,574,0.14456035767511177
f1_5yr,higher,0.4,0.4,0.4200761152312388,0.41176584277638983,391,162,229,0.4143222506393862
