variant,basin_id,component,mean_component_discharge,component_weight,component_contribution_to_final_q,collapsed_near_zero,dominates_basin,mean_channel_loss_component,mean_gate_loss_component
Model6PhysicalFix_A_explicit_gate,1013500,1,1.5999526977539062,0.28802961111068726,0.24276651442050934,False,False,0.0059514413587749004,0.04781222715973854
Model6PhysicalFix_A_explicit_gate,1013500,2,1.6317164897918701,0.19067303836345673,0.24758532643318176,False,False,0.02685120701789856,0.006287881173193455
Model6PhysicalFix_A_explicit_gate,1013500,3,1.6047279834747314,0.18728172779083252,0.24349039793014526,False,False,0.008566283620893955,0.005775579251348972
Model6PhysicalFix_A_explicit_gate,1013500,4,1.7539721727371216,0.3340156376361847,0.26614195108413696,False,False,0.023943640291690826,0.004402210004627705
Model6PhysicalFix_A_explicit_gate,1022500,1,2.114192008972168,0.18746347725391388,0.24859952926635742,False,False,0.017199072986841202,0.04062148556113243
Model6PhysicalFix_A_explicit_gate,1022500,2,1.9633009433746338,0.14374586939811707,0.23085662722587585,False,False,0.031464677304029465,0.004887813702225685
Model6PhysicalFix_A_explicit_gate,1022500,3,2.1769394874572754,0.1709774136543274,0.25597745180130005,False,False,0.04145940765738487,0.0060472977347671986
Model6PhysicalFix_A_explicit_gate,1022500,4,2.2498209476470947,0.49781328439712524,0.2645520567893982,False,False,0.03036580979824066,0.0039473241195082664
Model6PhysicalFix_A_explicit_gate,1030500,1,1.804795742034912,0.2839350402355194,0.2466413974761963,False,False,0.0057796514593064785,0.04940622299909592
Model6PhysicalFix_A_explicit_gate,1030500,2,1.9055739641189575,0.1446647047996521,0.26041316986083984,False,False,0.03127649798989296,0.008090785704553127
Model6PhysicalFix_A_explicit_gate,1030500,3,1.7547403573989868,0.21373532712459564,0.23980070650577545,False,False,0.026448240503668785,0.005293187219649553
Model6PhysicalFix_A_explicit_gate,1030500,4,1.8522324562072754,0.35766488313674927,0.25312915444374084,False,False,0.034482166171073914,0.004567368421703577
Model6PhysicalFix_A_explicit_gate,1031500,1,2.1958940029144287,0.12573961913585663,0.25005191564559937,False,False,0.007822005078196526,0.05324041470885277
Model6PhysicalFix_A_explicit_gate,1031500,2,2.3397436141967773,0.12301846593618393,0.2664317190647125,False,False,0.03540940210223198,0.0074607026763260365
Model6PhysicalFix_A_explicit_gate,1031500,3,2.0952088832855225,0.24203075468540192,0.23858678340911865,False,False,0.01832479052245617,0.005112792830914259
Model6PhysicalFix_A_explicit_gate,1031500,4,2.1507463455200195,0.5092111825942993,0.2449154555797577,False,False,0.014346731826663017,0.004072470124810934
Model6PhysicalFix_A_explicit_gate,1047000,1,2.033806324005127,0.1704939901828766,0.25072112679481506,False,False,0.01802302710711956,0.04944833368062973
Model6PhysicalFix_A_explicit_gate,1047000,2,2.0431509017944336,0.12458602339029312,0.2518726885318756,False,False,0.03751807287335396,0.005193944554775953
Model6PhysicalFix_A_explicit_gate,1047000,3,1.9684170484542847,0.21965180337429047,0.24265988171100616,False,False,0.0336117185652256,0.005049111787229776
Model6PhysicalFix_A_explicit_gate,1047000,4,2.066293716430664,0.48526814579963684,0.254731684923172,False,False,0.012024328112602234,0.004018223844468594
