variant,basin_id,parameter,min,max,mean,bound_low,bound_high,violation_count
Model6PhysicalFix_A_explicit_gate,1013500,INSC,1.2248258590698242,1.2248258590698242,1.2248258590698242,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1013500,COEF_t,276.4682922363281,276.4682922363281,276.4682922363281,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1013500,SQ_t,1.76566481590271,4.657639026641846,2.6838767528533936,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1013500,SMSC,157.24398803710938,157.24398803710938,157.24400329589844,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1013500,SUB_t,0.006671547889709473,0.862328052520752,0.40718334913253784,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1013500,INTER_t,0.000650575093459338,0.028835561126470566,0.010697445832192898,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1013500,RECH_t,0.12051663547754288,0.9926779270172119,0.5821192264556885,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1013500,CRAK_t,0.12051663547754288,0.9926779270172119,0.5821192264556885,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1013500,K_t,0.1067795529961586,0.1067795529961586,0.10677957534790039,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1013500,LG_t,0.06719554215669632,0.06763554364442825,0.06740441918373108,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1013500,TT,-0.7604883909225464,-0.7604883909225464,-0.7604883909225464,-2.5,2.5,0
Model6PhysicalFix_A_explicit_gate,1013500,CFMAX_t,2.025068759918213,4.206720352172852,2.0703155994415283,0.0,15.0,0
Model6PhysicalFix_A_explicit_gate,1013500,CFR,0.055373042821884155,0.055373042821884155,0.055373046547174454,0.0,0.1,0
Model6PhysicalFix_A_explicit_gate,1013500,CWH,0.03261256217956543,0.03261256217956543,0.03261256217956543,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1013500,SG_CRIT,121.46029663085938,121.46029663085938,121.4603271484375,0.0,300.0,0
Model6PhysicalFix_A_explicit_gate,1013500,partition_sum_error,0.0,1.1920928955078125e-07,2.595245263137258e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1013500,component_weight_sum_error,0.0,0.0,0.0,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1013500,unit_hydrograph_sum_error_max,0.0,1.1920928955078125e-07,5.960464477539063e-08,0.0,0.0001,0
Model6PhysicalFix_A_explicit_gate,1022500,INSC,1.1524838209152222,1.1524838209152222,1.1524838209152222,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1022500,COEF_t,298.650390625,298.650390625,298.650390625,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1022500,SQ_t,1.6983838081359863,5.03573751449585,2.7479729652404785,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1022500,SMSC,158.12567138671875,158.12567138671875,158.1256866455078,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1022500,SUB_t,0.0022618654184043407,0.8382666110992432,0.29156115651130676,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1022500,INTER_t,0.00037729612085968256,0.033020325005054474,0.011476421728730202,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1022500,RECH_t,0.14021262526512146,0.99736088514328,0.6969624161720276,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1022500,CRAK_t,0.14021262526512146,0.99736088514328,0.6969624161720276,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1022500,K_t,0.08651424944400787,0.08651424944400787,0.08651424199342728,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1022500,LG_t,0.05703187361359596,0.05763772502541542,0.057239264249801636,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1022500,TT,-0.7178134918212891,-0.7178134918212891,-0.7178134918212891,-2.5,2.5,0
Model6PhysicalFix_A_explicit_gate,1022500,CFMAX_t,2.2306108474731445,4.7685441970825195,2.2963550090789795,0.0,15.0,0
Model6PhysicalFix_A_explicit_gate,1022500,CFR,0.05277988687157631,0.05277988687157631,0.05277989059686661,0.0,0.1,0
Model6PhysicalFix_A_explicit_gate,1022500,CWH,0.015722492709755898,0.015722492709755898,0.015722492709755898,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1022500,SG_CRIT,93.812744140625,93.812744140625,93.81273651123047,0.0,300.0,0
Model6PhysicalFix_A_explicit_gate,1022500,partition_sum_error,0.0,1.1920928955078125e-07,2.8616465641562172e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1022500,component_weight_sum_error,0.0,0.0,0.0,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1022500,unit_hydrograph_sum_error_max,0.0,1.1920928955078125e-07,4.470348358154297e-08,0.0,0.0001,0
Model6PhysicalFix_A_explicit_gate,1030500,INSC,1.2349034547805786,1.2349034547805786,1.2349034547805786,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1030500,COEF_t,302.2130432128906,302.2130432128906,302.21307373046875,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1030500,SQ_t,1.4547722339630127,4.084376335144043,2.2770981788635254,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1030500,SMSC,157.8787841796875,157.8787841796875,157.8787841796875,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1030500,SUB_t,0.007047749124467373,0.9073190689086914,0.43381014466285706,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1030500,INTER_t,0.000555003818590194,0.021041879430413246,0.008189894258975983,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1030500,RECH_t,0.07783005386590958,0.9923971891403198,0.557999849319458,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1030500,CRAK_t,0.07783005386590958,0.9923971891403198,0.557999849319458,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1030500,K_t,0.10681219398975372,0.10681219398975372,0.10681219398975372,0.003,0.3,0
Model6PhysicalFix_A_explicit_gate,1030500,LG_t,0.06120503693819046,0.06175432354211807,0.061465710401535034,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1030500,TT,-0.8259344696998596,-0.8259344696998596,-0.8259344696998596,-2.5,2.5,0
Model6PhysicalFix_A_explicit_gate,1030500,CFMAX_t,2.037252187728882,4.27480411529541,2.0853185653686523,0.0,15.0,0
Model6PhysicalFix_A_explicit_gate,1030500,CFR,0.05323684588074684,0.05323684588074684,0.05323684960603714,0.0,0.1,0
Model6PhysicalFix_A_explicit_gate,1030500,CWH,0.027372658252716064,0.027372658252716064,0.027372658252716064,0.0,0.2,0
Model6PhysicalFix_A_explicit_gate,1030500,SG_CRIT,116.69666290283203,116.69666290283203,116.69666290283203,0.0,300.0,0
Model6PhysicalFix_A_explicit_gate,1030500,partition_sum_error,0.0,1.1920928955078125e-07,2.916742758429791e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1030500,component_weight_sum_error,5.960464477539063e-08,5.960464477539063e-08,5.960464477539063e-08,0.0,1e-05,0
Model6PhysicalFix_A_explicit_gate,1030500,unit_hydrograph_sum_error_max,0.0,1.1920928955078125e-07,4.470348358154297e-08,0.0,0.0001,0
Model6PhysicalFix_A_explicit_gate,1031500,INSC,1.699710726737976,1.699710726737976,1.699710726737976,0.5,5.0,0
Model6PhysicalFix_A_explicit_gate,1031500,COEF_t,282.20648193359375,282.20648193359375,282.2065124511719,50.0,400.0,0
Model6PhysicalFix_A_explicit_gate,1031500,SQ_t,1.948671817779541,5.034115314483643,2.8740975856781006,0.0,6.0,0
Model6PhysicalFix_A_explicit_gate,1031500,SMSC,105.70046997070312,105.70046997070312,105.70044708251953,50.0,500.0,0
Model6PhysicalFix_A_explicit_gate,1031500,SUB_t,0.0036615568678826094,0.9479745626449585,0.3415081799030304,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1031500,INTER_t,0.0003235899785067886,0.019450416788458824,0.007388357538729906,0.0,1.0,0
Model6PhysicalFix_A_explicit_gate,1031500,RECH_t,0.04322763532400131,0.9960144758224487,0.6511034965515137,0.0,1.0,0
