gage_id,gage_name,lat,lon,NSE,KGE,logNSE,lowflow_NSE,highflow_NSE,fdc_error,ET_ratio,runoff_ratio,BFI,BFI_obs,BFI_error,groundwater_loss_fraction,water_balance_closure,sum_surface_runoff,sum_interflow,sum_recharge_to_groundwater,sum_baseflow,sum_groundwater_loss,sum_actual_ET,sum_total_discharge,mean_groundwater_storage,mean_soil_moisture,mean_snowpack,channel_loss_mean,zero_flow_probability_mean,COEF_t_mean,SQ_t_mean,ETGAM_t_mean,SUB_t_mean,CRAK_t_mean,K_t_mean,LG_t_mean,SG_CRIT_mean,CFMAX_t_mean,INSC_wavg,COEF_wavg,SQ_wavg,SMSC_wavg,SUB_wavg,CRAK_wavg,K_wavg,LG_wavg,TT_wavg,CFMAX_wavg,CFR_wavg,CWH_wavg,SG_CRIT_wavg,route_a_static,route_b_static,weight_c1,weight_c2,weight_c3,weight_c4
1013500,"                  Fish River near Fort Kent, Maine",47.23739,-68.58264,0.7601940482854843,0.8445470185031878,0.27033013105392456,-10.656036376953125,0.630768209695816,0.2929918602874607,0.27741426,0.523108,0.31638935,0.5508382,0.23444882,0.9533217,-55266.17,6346.2295,107.41869,3922.5933,2873.0962,58677.895,4815.7695,9080.888,24.828274,94.86632,61.67227,0.020902945,0.9653669,308.06638,3.2136104,2.177078,0.4570817,0.5296032,0.10576488,0.06361612,122.841644,2.2437508,1.2877525,308.06638,3.7892504,154.11653,0.6693025,0.4394408,0.10576488,0.07826216,-0.72289807,3.1149938,0.05378675,0.024499098,122.84163,2.17422,1.4367136,0.25154537,0.15800838,0.22619987,0.3642464
1022500,"           Narraguagus River at Cherryfield, Maine",44.60797,-67.93524,0.8308584541082382,0.8724930846933372,0.8227138072252274,-0.18221569061279297,0.65847048163414,0.15777068077954,0.26944676,0.5755908,0.4330664,0.45385897,0.020792574,0.90260357,-43307.062,6654.0205,147.69452,5796.6875,5004.589,46379.125,5409.698,11556.17,32.339325,94.21205,26.290833,0.031270474,0.9694602,327.0471,2.9092882,1.9575478,0.32684153,0.66147006,0.08863003,0.05494683,97.31384,2.3900514,1.3309665,327.04712,3.2747688,155.11487,0.5272299,0.55184734,0.08863004,0.06607227,-1.0044812,3.3044677,0.051416133,0.016266352,97.313835,2.0374796,1.0266864,0.1879448,0.1072415,0.20449163,0.50032204
1030500,"       Mattawamkeag River near Mattawamkeag, Maine",45.50097,-68.30596,0.8556498736143112,0.8475696689444954,0.7847321331501007,-5.1288604736328125,0.6696726381778717,0.28433210413925947,0.2907216,0.5316698,0.3250415,0.4276549,0.10261339,0.9442773,-50304.04,6728.296,114.94253,3970.4175,3159.0933,53534.023,5314.458,9719.046,33.50543,108.10233,41.788826,0.028518278,0.96277815,325.84006,2.7489624,2.0408642,0.45985427,0.52846986,0.105611406,0.06028525,117.887344,2.1091723,1.2647291,325.8401,3.1158257,179.27544,0.64149904,0.43627486,0.10561139,0.07789141,-0.81006217,2.928081,0.05291419,0.025481937,117.88737,2.278573,1.8132458,0.26571932,0.11238449,0.25661302,0.3652831
1031500,"      Piscataquis River near Dover-Foxcroft, Maine",45.17501,-69.3147,0.8144581168889999,0.8984557875827456,0.7588210999965668,-7.039223670959473,0.7035732269287109,0.34626539322808986,0.2588955,0.5876226,0.3691976,0.34895527,0.020242333,0.9136291,-42517.867,7472.673,77.99489,4971.585,4304.3535,45531.33,5136.592,11658.671,25.088703,65.17368,43.036045,0.019151302,0.973052,315.94336,3.417347,2.0891259,0.40338805,0.5877117,0.08792096,0.046942506,105.349594,2.5580323,1.3779294,315.94336,4.1513968,105.89937,0.6021084,0.51938313,0.08792095,0.061019525,-1.0701342,3.5262856,0.04915198,0.0097480025,105.3496,1.238807,0.9732089,0.16731504,0.08409123,0.2808387,0.46775508
1047000,"        Carrabassett River near North Anson, Maine",44.8692,-69.9551,0.8196413666009903,0.8069732900874063,0.7814429700374603,-0.9939757585525513,0.698609322309494,0.16558740529715324,0.26881802,0.5687064,0.39124382,0.37694708,0.01429674,0.9172079,-43568.63,6679.2227,88.62235,4929.7812,4206.069,46596.668,5081.5845,10750.506,23.868235,72.3851,40.10647,0.024759065,0.971751,324.51102,3.3205948,2.0956547,0.36976796,0.62080127,0.08877261,0.05010626,100.95616,2.5203195,1.4547706,324.51102,3.97606,117.52106,0.56666464,0.53912395,0.08877262,0.06219764,-1.0728683,3.4813135,0.04794456,0.010571779,100.95616,1.2634377,0.7670065,0.18055022,0.09595343,0.23574968,0.48774663
1052500,"         Diamond River near Wentworth Location, NH",44.87739,-71.05749,0.8467791974544525,0.8289201149077939,0.7070536017417908,-4.860799312591553,0.7686123698949814,0.13186929861839874,0.21897298,0.6007695,0.35276496,0.3638517,0.011086732,0.9157135,-43996.992,8119.794,111.47586,5460.3076,4391.0947,47706.133,4537.0127,12447.649,25.744574,71.816734,67.22074,0.0109940935,0.9747452,315.85498,3.5756938,2.2659857,0.40552837,0.5820492,0.089084506,0.049145807,111.30494,2.883241,1.7083633,315.85504,4.2536206,107.83359,0.6190776,0.5165888,0.08908449,0.061843783,-1.1218034,3.973711,0.045959033,0.009787919,111.30495,1.1375304,1.0189707,0.1877191,0.10138309,0.25568104,0.45521683
1054200,"                       Wild River at Gilead, Maine",44.39044,-70.97964,0.6907258927822113,0.7895175118225513,0.662301778793335,-4.829672336578369,0.5776124894618988,0.14375199211429254,0.21591528,0.6333183,0.29149622,0.35476935,0.06327313,0.9308324,-54560.68,10602.584,114.496445,5325.8223,4314.812,58067.15,5046.5,14802.291,19.025427,83.407684,58.270943,0.021087285,0.9726655,321.24905,3.8068273,2.1940453,0.43272743,0.55593926,0.08782255,0.058623828,116.65332,2.5336711,1.5629369,321.24902,4.4543324,127.092285,0.6153952,0.4917663,0.08782254,0.07029175,-0.90487987,3.4547648,0.04912293,0.0075731017,116.653336,0.7229451,0.75939107,0.19892557,0.16034336,0.2268034,0.41392764
1055000,"                   Swift River near Roxbury, Maine",44.64275,-70.58878,0.7130016684532166,0.7807329878575544,0.7259983420372009,-2.226422071456909,0.5710857510566711,0.11253509796548966,0.23989668,0.59338504,0.3128681,0.3472364,0.034368306,0.9369362,-51452.91,8190.468,87.791504,4546.1543,3683.3926,54723.992,4759.6436,11772.989,22.641506,74.759865,53.52015,0.02096906,0.9786069,307.16696,3.6895368,2.1818683,0.40472037,0.58518946,0.08330429,0.05335204,115.8437,2.6520474,1.6009188,307.16696,4.3847227,118.52205,0.6119684,0.5177892,0.0833043,0.06348215,-0.78643954,3.6468964,0.04854871,0.009955826,115.843704,0.6915879,1.1717296,0.108230606,0.14004968,0.3041598,0.44755998
1057000," Little Androscoggin River near South Paris, Maine",44.30399,-70.53968,0.7633264660835266,0.8289280834695822,0.7867385298013687,-2.865373373031616,0.622890442609787,0.24037859579365917,0.2664438,0.56410146,0.43535534,0.38672456,0.048630774,0.907574,-46752.69,6856.0283,127.8739,5991.2935,5115.747,50233.938,5550.263,11750.739,22.177425,113.26926,34.95563,0.04548188,0.9697179,342.37152,3.0483935,2.022129,0.33233184,0.65688765,0.08364754,0.050742317,102.66668,2.2241175,1.6708643,342.37146,3.3748753,181.4017,0.49004588,0.5672979,0.08364753,0.06045956,-1.0872811,3.0614462,0.05090098,0.009642367,102.66669,1.1823851,0.74102396,0.21178617,0.14102168,0.15019117,0.49700102
1073000,"                      OYSTER RIVER NEAR DURHAM, NH",43.1487,-70.96506,0.894690178334713,0.9089644138832165,0.7854023575782776,-7.531328201293945,0.8651673644781113,0.7171614048831799,0.31554312,0.5334189,0.41820562,0.3889291,0.02927652,0.9134112,-44970.055,6568.459,129.69156,5220.3843,4556.4604,48065.35,6445.076,10895.264,31.699743,117.742355,11.609874,0.053814035,0.9745746,333.53983,2.7978745,1.765864,0.33177972,0.65865475,0.0842226,0.055462386,97.34674,2.437582,1.7165376,333.53986,3.0263052,201.93353,0.5048754,0.5447346,0.0842226,0.0633952,-1.0562003,3.3830023,0.049354836,0.015343912,97.346725,1.4538885,1.3315852,0.12366732,0.10511534,0.27603057,0.4951868
